Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,Randomise questionnaire elements?,Question Key,Response
1,1.69876E+12,31.10.2023 12:31,1.69876E+12,1,31.10.2023 13:31,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,BEGIN QUESTIONNAIRE,
2,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,1_dob-month,9
3,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,1_dob-year,1942
4,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,2_pob,Ringsøy 
5,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,3_residence,Bergen 
6,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,4_handedness,høyrehendt
7,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,4_handedness-quantised,1
8,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,5_hearinglevel,Alvorlig hørselstap (>90 dB)
9,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,5_hearinglevel-quantised,1
10,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6_hearing-aids,nei
11,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6_hearing-aids-quantised,2
12,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6a_CI,nei
13,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6a_CI-quantised,2
14,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,6b_CIage,n/a
15,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,7_deafnessreason,hjernehinnebetennelse
16,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,8_born-deaf,nei
17,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,8_born-deaf-quantised,2
18,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,8a_deafness-age,18
19,1.69876E+12,31.10.2023 12:34,1.69876E+12,1,31.10.2023 13:34,142915,17,questionnaire-zt1x,,32598056,7lh74236,9647566,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,3440x1440,1717x1248,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,9_SL-exposure,19
